placeName,placeTypeHint,lat,lng,plusCode,googleMapsUrl
<![CDATA[Aral Truck (auch für PKW => Button klicken)]]>,HVO_TANKSTELLE,48.684856,9.374177,,"https://www.google.com/maps/search/?api=1&query=48.6848558,9.3741767"
<![CDATA[Aral Truck (auch für PKW => Button klicken)]]>,HVO_TANKSTELLE,48.390243,11.064005,,"https://www.google.com/maps/search/?api=1&query=48.3902434,11.064005"
<![CDATA[Aral Truck (auch für PKW => Button klicken)]]>,HVO_TANKSTELLE,50.054505,11.622010,,"https://www.google.com/maps/search/?api=1&query=50.0545045,11.6220099"
<![CDATA[Aral Truck (auch für PKW => Button klicken)]]>,HVO_TANKSTELLE,50.862347,9.722831,,"https://www.google.com/maps/search/?api=1&query=50.8623475,9.7228309"
<![CDATA[Aral Truck (PKW  Infos => Icon klicken)]]>,HVO_TANKSTELLE,51.400234,12.190280,,"https://www.google.com/maps/search/?api=1&query=51.4002338,12.1902797"
<![CDATA[Aral Truck (PKW => Icon klicken)]]>,HVO_TANKSTELLE,49.258566,10.502211,,"https://www.google.com/maps/search/?api=1&query=49.2585659,10.5022112"
<![CDATA[Aral Truck (PKW Infos => Icon klicken)]]>,HVO_TANKSTELLE,51.683526,8.721146,,"https://www.google.com/maps/search/?api=1&query=51.6835255,8.7211456"
<![CDATA[Aral Truck (PKW Infos => Icons klicken)]]>,HVO_TANKSTELLE,49.672821,8.597635,,"https://www.google.com/maps/search/?api=1&query=49.6728208,8.5976347"
<![CDATA[BP Truck (PKW Infos => Icon klicken)]]>,HVO_TANKSTELLE,47.493632,14.483190,,"https://www.google.com/maps/search/?api=1&query=47.4936324,14.4831897"
<![CDATA[C&S Tankstelle (PKW und LKW)]]>,HVO_TANKSTELLE,50.708379,12.481475,,"https://www.google.com/maps/search/?api=1&query=50.7083794,12.4814749"
<![CDATA[C&S Tankstelle PKW und LKW]]>,HVO_TANKSTELLE,50.890886,11.861121,,"https://www.google.com/maps/search/?api=1&query=50.8908855,11.8611215"
<![CDATA[E. Leclerc ( PKW ) => click Icon to read]]>,HVO_TANKSTELLE,48.232220,7.404897,,"https://www.google.com/maps/search/?api=1&query=48.2322203,7.4048969"
<![CDATA[Fleming & Wendeln]]>,HVO_TANKSTELLE,52.947169,8.022694,,"https://www.google.com/maps/search/?api=1&query=52.9471692,8.022694"
<![CDATA[G&V Truck]]>,HVO_TANKSTELLE,50.943844,5.705356,,"https://www.google.com/maps/search/?api=1&query=50.9438438,5.7053562"
<![CDATA[Knies & Lagotka]]>,HVO_TANKSTELLE,50.978908,8.969424,,"https://www.google.com/maps/search/?api=1&query=50.9789082,8.9694244"
<![CDATA[Knies & Lagotka]]>,HVO_TANKSTELLE,50.749552,8.836174,,"https://www.google.com/maps/search/?api=1&query=50.749552,8.8361744"
<![CDATA[Knies&Kotka / Tankpool24]]>,HVO_TANKSTELLE,50.826252,8.773105,,"https://www.google.com/maps/search/?api=1&query=50.8262521,8.7731047"
<![CDATA[L-Port Tankstelle PKW (LKW mit kleinem Rüssel) => Hinweis lesen!]]>,HVO_TANKSTELLE,52.102981,8.196478,,"https://www.google.com/maps/search/?api=1&query=52.1029811,8.1964781"
<![CDATA[Mallasch & Uhlen (PKW + LKW) => Icon klicken]]>,HVO_TANKSTELLE,52.735990,7.782031,,"https://www.google.com/maps/search/?api=1&query=52.7359902,7.7820306"
<![CDATA[Masch & Uhlen / Aral / Pool-Tankstelle]]>,HVO_TANKSTELLE,52.668417,7.295555,,"https://www.google.com/maps/search/?api=1&query=52.6684174,7.295555"
"<![CDATA[Nordoel (Sonderstation, Klicken => Infos lesen!)]]>",HVO_TANKSTELLE,53.850601,10.675904,,"https://www.google.com/maps/search/?api=1&query=53.8506013,10.6759039"
<![CDATA[Pludra Tankstelle ( LKW + PKW ?) => Icon lesen]]>,HVO_TANKSTELLE,52.336633,7.252677,,"https://www.google.com/maps/search/?api=1&query=52.3366329,7.2526768"
<![CDATA[Rominger & Blaier (nur mit Kundenkarte)]]>,HVO_TANKSTELLE,48.208267,9.018410,,"https://www.google.com/maps/search/?api=1&query=48.2082675,9.01841"
<![CDATA[Schuster & Sohn]]>,HVO_TANKSTELLE,49.483253,7.680213,,"https://www.google.com/maps/search/?api=1&query=49.4832528,7.6802128"
<![CDATA[Schuster & Sohn]]>,HVO_TANKSTELLE,49.219817,7.593183,,"https://www.google.com/maps/search/?api=1&query=49.2198165,7.5931831"
<![CDATA[Tank & Wasch Held]]>,HVO_TANKSTELLE,49.785931,11.189584,,"https://www.google.com/maps/search/?api=1&query=49.7859312,11.1895841"
<![CDATA[Tankstelle tank & talk]]>,HVO_TANKSTELLE,48.070527,12.488734,,"https://www.google.com/maps/search/?api=1&query=48.0705274,12.4887335"
<![CDATA[Theile&Schürholz (PKW+LKW) Icon drücken!!]]>,HVO_TANKSTELLE,51.057190,7.767451,,"https://www.google.com/maps/search/?api=1&query=51.0571905,7.7674508"
<![CDATA[Total / Cirkle K (Bitte um Rückinfo! => Icon klicken)]]>,HVO_TANKSTELLE,49.564254,8.062431,,"https://www.google.com/maps/search/?api=1&query=49.5642539,8.0624307"
"<![CDATA[Wölfl (Truck & PKW, AS24)]]>",HVO_TANKSTELLE,48.307841,13.426036,,"https://www.google.com/maps/search/?api=1&query=48.307841,13.4260363"
Agrola,HVO_TANKSTELLE,47.560204,9.132327,,"https://www.google.com/maps/search/?api=1&query=47.5602038,9.1323272"
